gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
4,m1,8500.0,2,0,0.0,41.090138888888895,27.469055555555553,118.0
21,ec1,8500.0,2,0,0.0,41.34663888888889,27.83152777777777,111.0
27,m18,8500.0,2,0,0.0,41.040416666666665,26.35594444444445,12.0
27,m17,8500.0,2,0,0.0,41.129583333333336,26.48005555555555,19.0
21,cc2,8500.0,2,0,0.0,41.293416666666666,27.944222222222226,154.0
82,t13-3,8500.0,2,0,0.0,41.38247222222222,26.91186111111111,34.0
82,m14,8500.0,2,0,0.0,41.324333333333335,26.82922222222221,18.0
21,cc3,8500.0,2,0,0.0,41.23858333333333,27.869722222222233,130.0
27,t18,8500.0,2,0,0.0,41.085861111111114,26.547277777777786,21.0
82,t13-2,8500.0,2,0,0.0,41.4065,26.92894444444445,37.0
4,cc11,8500.0,2,0,0.0,41.16366666666666,27.49325,87.0
82,t13-4,8500.0,2,0,0.0,41.34858333333335,26.886416666666666,22.0
21,cc6,8500.0,2,0,0.0,41.20744444444445,27.86411111111111,150.0
82,t14-2,8500.0,2,0,0.0,41.30858333333333,26.789777777777786,18.0
4,cc10,8500.0,2,0,0.0,41.14247222222223,27.599138888888888,89.0
4,ec7,8500.0,2,0,0.0,41.21675000000001,27.52633333333333,76.0
4,m1,8500.0,3,0,0.0,41.090138888888895,27.469055555555553,118.0
21,ec1,8500.0,3,0,0.0,41.34663888888889,27.83152777777777,111.0
21,cc2,8500.0,3,0,0.0,41.293416666666666,27.944222222222226,154.0
82,t13-3,8500.0,3,0,0.0,41.38247222222222,26.91186111111111,34.0
82,m14,8500.0,3,0,0.0,41.324333333333335,26.82922222222221,18.0
21,cc3,8500.0,3,0,0.0,41.23858333333333,27.869722222222233,130.0
82,t13-2,8500.0,3,0,0.0,41.4065,26.92894444444445,37.0
4,cc11,8500.0,3,0,0.0,41.16366666666666,27.49325,87.0
82,t13-4,8500.0,3,0,0.0,41.34858333333335,26.886416666666666,22.0
21,cc6,8500.0,3,0,0.0,41.20744444444445,27.86411111111111,150.0
82,t14-2,8500.0,3,0,0.0,41.30858333333333,26.789777777777786,18.0
4,cc10,8500.0,3,0,0.0,41.14247222222223,27.599138888888888,89.0
4,ec7,8500.0,3,0,0.0,41.21675000000001,27.52633333333333,76.0
4,m1,8500.0,0,1,0.0,41.090138888888895,27.469055555555553,118.0
8,t13-1,8500.0,0,1,0.0,41.785916666666665,27.129277777777766,244.0
10,t5-1,8500.0,0,1,0.0,41.42869444444444,27.367305555555557,62.0
