sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
cc3,5500.0,3.0,0.0,0.001,86400.0,652.0,397.0,423.0,255.0,21674.0,7542.0,48108.3,12.65,18.15,45250.7,2673.0,3.52,150.276
ec5,5500.0,3.0,0.0,0.001,86400.0,650.0,151.0,210.0,499.0,7758.88,2868.0,48096.5,9.9,18.15,45256.2,2673.0,3.52,135.743
ec6,5500.0,3.0,0.0,0.001,86400.0,657.0,143.0,206.0,514.0,5332.48,2716.0,48076.9,33.1516,36.3,45191.0,2673.0,8.8,134.659
ec7,5500.0,3.0,0.0,0.001,86400.0,657.0,287.0,330.0,370.0,16533.0,5452.0,48084.3,32.4358,36.3,45192.4,2673.0,8.8,141.325
t1-1,5500.0,3.0,0.0,0.001,86400.0,651.0,279.0,324.0,372.0,9366.49,5300.0,48096.9,14.025,18.15,45248.0,2673.0,3.52,140.21
t1-2,5000.0,2.0,0.0,0.001,86400.0,648.0,367.0,396.0,281.0,16314.4,6972.0,48108.2,11.55,9.075,45261.2,2673.0,1.76,151.688
t6,5000.0,2.0,0.0,0.001,86400.0,654.0,254.0,294.0,400.0,19776.1,4825.0,48100.4,11.55,9.075,45261.2,2673.0,1.76,143.893
t7-2,5000.0,2.0,0.0,0.001,86400.0,658.0,204.0,256.0,454.0,14448.1,3875.0,48088.7,22.55,27.225,45220.5,2673.0,7.04,138.434
m4,5000.0,2.0,0.0,0.001,86400.0,653.0,327.0,361.0,326.0,25575.2,6212.0,48100.7,11.55,9.075,45261.2,2673.0,1.76,144.215
cc8,5000.0,2.0,0.0,0.001,86400.0,658.0,255.0,301.0,403.0,15575.4,4844.0,48095.7,15.309,18.15,45243.2,2673.0,5.28,140.765
cc7,5000.0,2.0,0.0,0.001,86400.0,659.0,297.0,335.0,362.0,22830.5,5642.0,48109.2,9.65465,27.225,45246.2,2673.0,7.04,146.064
cc6,5000.0,2.0,0.0,0.001,86400.0,648.0,383.0,412.0,265.0,14726.3,7276.0,48104.9,11.275,18.15,45253.5,2673.0,3.52,145.542
cc3,5000.0,2.0,0.0,0.001,86400.0,657.0,493.0,506.0,164.0,31515.7,9366.0,48095.8,32.0954,36.3,45193.1,2673.0,8.8,152.483
ec5,5000.0,2.0,0.0,0.001,86400.0,656.0,383.0,411.0,273.0,27898.8,7276.0,48108.0,9.9,18.15,45256.2,2673.0,3.52,147.211
ec6,5000.0,2.0,0.0,0.001,86400.0,655.0,354.0,385.0,301.0,20440.3,6725.0,48092.2,23.925,27.225,45217.7,2673.0,7.04,143.333
ec7,5000.0,2.0,0.0,0.001,86400.0,656.0,203.0,255.0,453.0,10360.5,3856.0,48082.0,32.2413,36.3,45192.8,2673.0,8.8,138.793
t1-1,5000.0,2.0,0.0,0.001,86400.0,648.0,403.0,430.0,245.0,17415.6,7656.0,48107.1,12.65,18.15,45250.7,2673.0,3.52,149.108
t2-2,5000.0,2.0,0.0,0.001,86400.0,657.0,267.0,313.0,390.0,14880.5,5072.0,48085.0,32.1497,36.3,45193.0,2673.0,8.8,141.795
t7-1,5000.0,2.0,0.0,0.001,86400.0,656.0,319.0,358.0,337.0,16861.7,6060.0,48106.2,11.275,18.15,45253.5,2673.0,3.52,146.759
t1-2,3000.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1814.63,12140.0,48092.3,35.538,27.225,45194.5,2673.0,7.04,155.003
t3-1,3000.0,0.0,1.0,0.47,86400.0,647.0,458.0,476.0,189.0,11100.9,8701.0,48083.9,35.5363,27.225,45194.5,2673.0,7.04,146.599
t4,3000.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
t8-1,3000.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
cc8,3000.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
cc2,3000.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
ec5,3000.0,0.0,1.0,0.47,86400.0,648.0,429.0,450.0,219.0,11784.6,8150.0,48082.7,35.5195,27.225,45194.5,2673.0,7.04,145.419
ec6,3000.0,0.0,1.0,0.47,86400.0,647.0,452.0,476.0,195.0,5502.81,8587.0,48090.0,32.343,36.3,45192.6,2673.0,8.8,146.898
t3-2,3000.0,0.0,1.0,0.47,86400.0,646.0,452.0,476.0,194.0,3522.49,8587.0,48089.8,32.359,36.3,45192.6,2673.0,8.8,146.728
t7-1,3000.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
t1-2,9500.0,3.0,1.0,0.47,86400.0,651.0,92.0,156.0,559.0,6868.46,1747.0,48087.3,11.55,9.075,45261.2,2673.0,1.76,130.809
t3-1,9500.0,3.0,1.0,0.47,86400.0,657.0,266.0,311.0,391.0,15413.7,5053.0,48094.4,19.3318,27.225,45226.9,2673.0,7.04,140.963
t4,9500.0,3.0,1.0,0.47,86400.0,653.0,243.0,292.0,410.0,11308.8,4616.0,48098.4,11.275,18.15,45253.5,2673.0,3.52,139.016
t3-2,9500.0,3.0,1.0,0.47,86400.0,656.0,305.0,345.0,351.0,15290.7,5794.0,48093.9,25.3,27.225,45215.0,2673.0,7.04,146.38
